Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          15.000000      1404.290945    1388.632584    15.658360      20.510000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      19.952000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.111000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      19.493000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      19.848000      0              
avg            15.800000      1402.800156    1387.141795    15.658360      19.982000      0              
lr111          14.000000      1309.291140    1287.278043    22.013097      25.685000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.996000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.437000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.697000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.704000      0              
avg            13.200000      1305.794071    1296.182121    9.611950       25.903000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      127.168000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      128.166000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      128.299000     0              
LR1_2_2        19.000000      4284.210856    4221.175170    63.035686      121.085000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      119.214000     0              
avg            19.000000      4266.247615    4210.870603    55.377012      124.786000     0              
LR1_2_7        14.000000      3253.867169    3069.119529    184.747641     245.009000     0              
LR1_2_7        14.000000      3252.632593    3113.167273    139.465320     243.157000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     238.357000     0              
LR1_2_7        15.000000      3216.709543    3124.709413    92.000131      236.635000     0              
LR1_2_7        15.000000      3218.167675    3131.307779    86.859896      236.774000     0              
avg            14.600000      3232.621628    3109.445236    123.176392     239.986000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       93.124000      0              
lr202          5.000000       1394.032315    1370.876331    23.155984      104.780000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       94.725000      0              
lr202          5.000000       1394.032315    1370.876331    23.155984      105.354000     0              
lr202          6.000000       1396.127215    1377.071227    19.055988      104.883000     0              
avg            5.200000       1394.044797    1378.218478    15.826319      100.573000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      210.985000     0              
lr203          4.000000       1157.910689    1157.910689    0.000000       194.389000     0              
lr203          4.000000       1141.282539    1122.896731    18.385808      212.501000     0              
lr203          4.000000       1140.543174    1122.157367    18.385808      210.225000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      210.556000     0              
avg            4.000000       1144.359820    1129.651174    14.708646      207.731000     0              
