Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1405.692891    1390.034531    15.658360      21.446000      0              
lr110          15.000000      1404.290945    1388.632584    15.658360      21.234000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      21.030000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      21.609000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      21.380000      0              
avg            15.800000      1405.412502    1389.754142    15.658360      21.339000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.518000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.673000      0              
lr111          13.000000      1307.362332    1296.558496    10.803837      26.499000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.564000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       26.416000      0              
avg            13.000000      1305.408310    1298.038212    7.370098       26.534000      0              
LR1_2_2        19.000000      4270.666682    4214.300369    56.366313      130.005000     0              
LR1_2_2        19.000000      4270.916433    4214.550120    56.366313      133.367000     0              
LR1_2_2        19.000000      4270.916433    4214.550120    56.366313      130.517000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      127.325000     0              
LR1_2_2        19.000000      4266.736020    4213.273676    53.462344      128.641000     0              
avg            19.000000      4268.420067    4212.634548    55.785519      129.971000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     233.696000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     234.937000     0              
LR1_2_7        15.000000      3219.583016    3138.972224    80.610792      233.545000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     234.717000     0              
LR1_2_7        15.000000      3222.208932    3103.248651    118.960280     233.529000     0              
avg            15.000000      3221.683748    3110.393366    111.290383     234.084000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       91.510000      0              
lr202          6.000000       1389.376469    1373.250559    16.125910      93.668000      0              
lr202          5.000000       1399.703672    1376.579098    23.124574      103.638000     0              
lr202          6.000000       1389.376469    1373.250559    16.125910      103.788000     0              
lr202          6.000000       1391.860691    1375.734781    16.125910      103.756000     0              
avg            5.600000       1392.666674    1376.989850    15.676825      99.272000      0              
lr203          5.000000       1155.388981    1137.752547    17.636433      145.485000     0              
lr203          5.000000       1155.388981    1137.752547    17.636433      141.800000     0              
lr203          4.000000       1147.532948    1125.329473    22.203475      212.521000     0              
lr203          4.000000       1159.776014    1150.955415    8.820599       182.078000     0              
lr203          4.000000       1203.546891    1170.645646    32.901245      130.852000     0              
avg            4.400000       1164.326763    1144.487126    19.839637      162.547000     0              
