Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1409.381299    1393.732136    15.649163      19.844000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      19.918000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      20.535000      0              
lr110          16.000000      1405.692891    1390.034531    15.658360      19.866000      0              
lr110          15.000000      1408.631718    1385.391338    23.240380      20.311000      0              
avg            15.800000      1407.018338    1389.845413    17.172925      20.094000      0              
lr111          14.000000      1314.986510    1293.961391    21.025119      24.888000      0              
lr111          14.000000      1316.063802    1295.038683    21.025119      24.647000      0              
lr111          14.000000      1316.063802    1295.038683    21.025119      25.119000      0              
lr111          13.000000      1320.234698    1311.257780    8.976918       26.154000      0              
lr111          13.000000      1310.644349    1277.866737    32.777612      24.924000      0              
avg            13.600000      1315.598632    1294.632655    20.965978      25.146000      0              
LR1_2_2        19.000000      4288.082110    4227.950393    60.131716      121.277000     0              
LR1_2_2        19.000000      4270.916433    4214.550120    56.366313      126.115000     0              
LR1_2_2        19.000000      4292.262523    4229.226837    63.035686      121.108000     0              
LR1_2_2        19.000000      4289.190072    4226.154386    63.035686      126.705000     0              
LR1_2_2        19.000000      4266.736020    4213.273676    53.462344      123.691000     0              
avg            19.000000      4281.437432    4222.231082    59.206349      123.779000     0              
LR1_2_7        14.000000      3284.024509    3105.812670    178.211839     229.220000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     227.416000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     223.236000     0              
LR1_2_7        14.000000      3245.177750    3094.259892    150.917858     267.636000     0              
LR1_2_7        15.000000      3213.997285    3122.715478    91.281807      224.074000     0              
avg            14.600000      3237.332372    3108.126483    129.205889     234.316000     0              
lr202          6.000000       1447.026047    1430.904432    16.121616      78.028000      0              
lr202          6.000000       1387.375228    1364.219244    23.155984      95.278000      0              
lr202          6.000000       1387.375228    1364.219244    23.155984      95.429000      0              
lr202          6.000000       1387.375228    1364.219244    23.155984      94.086000      0              
lr202          5.000000       1410.726060    1402.786074    7.939986       103.641000     0              
avg            5.800000       1403.975558    1385.269648    18.705911      93.292000      0              
lr203          3.000000       1171.480582    1142.698039    28.782544      236.089000     0              
lr203          4.000000       1149.903512    1126.979218    22.924294      218.191000     0              
lr203          5.000000       1184.813102    1161.888808    22.924294      116.994000     0              
lr203          5.000000       1143.411007    1125.774574    17.636433      211.998000     0              
lr203          5.000000       1184.813102    1161.888808    22.924294      116.293000     0              
avg            4.400000       1166.884261    1143.845890    23.038372      179.913000     0              
