Test Case      Vehicle        Objective      Distance       Delay          Time           Fail Num       
lr110          16.000000      1402.427458    1386.769098    15.658360      20.179000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.473000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.711000      0              
lr110          16.000000      1402.427458    1386.769098    15.658360      20.559000      0              
lr110          16.000000      1403.216413    1388.369805    14.846608      21.024000      0              
avg            16.000000      1402.585249    1387.089239    15.496010      20.589000      0              
lr111          14.000000      1309.291140    1287.278043    22.013097      25.721000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       24.884000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.502000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.296000      0              
lr111          13.000000      1304.919804    1298.408141    6.511663       25.341000      0              
avg            13.200000      1305.794071    1296.182121    9.611950       25.348000      0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      124.594000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      125.770000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      122.589000     0              
LR1_2_2        19.000000      4262.864767    4206.498453    56.366313      125.719000     0              
LR1_2_2        19.000000      4261.756804    4208.294461    53.462344      124.200000     0              
avg            19.000000      4261.978397    4207.935259    54.043138      124.574000     0              
LR1_2_7        15.000000      3221.731159    3108.922187    112.808971     241.914000     0              
LR1_2_7        15.000000      3213.997285    3122.715478    91.281807      244.277000     0              
LR1_2_7        15.000000      3218.292016    3137.828705    80.463310      238.133000     0              
LR1_2_7        15.000000      3218.801973    3137.221156    81.580817      237.326000     0              
LR1_2_7        14.000000      3267.532547    3185.384074    82.148474      245.966000     0              
avg            14.800000      3228.070996    3138.414320    89.656676      241.523000     0              
lr202          6.000000       1387.375228    1364.219244    23.155984      98.789000      0              
lr202          6.000000       1390.317006    1374.191096    16.125910      102.762000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       93.674000      0              
lr202          6.000000       1392.529520    1387.259278    5.270242       116.166000     0              
lr202          5.000000       1393.016071    1386.134251    6.881820       96.370000      0              
avg            5.600000       1391.250779    1379.587624    11.663155      101.552000     0              
lr203          4.000000       1157.273769    1138.887961    18.385808      199.788000     0              
lr203          4.000000       1140.673930    1122.288122    18.385808      220.262000     0              
lr203          4.000000       1141.388766    1123.002958    18.385808      218.607000     0              
lr203          5.000000       1193.151361    1179.071815    14.079546      133.169000     0              
lr203          4.000000       1141.248710    1122.862902    18.385808      218.148000     0              
avg            4.200000       1154.747307    1137.222752    17.524555      197.994000     0              
